model,axis,role,allow_prediction,block_prediction,transition_count,transition_rate
OpenAI/gpt-5.6-sol,policy_purpose,stable_admissible,admissible,unknown,1,0.125
OpenAI/gpt-5.6-sol,policy_purpose,stable_admissible,inadmissible,inadmissible,2,0.25
OpenAI/gpt-5.6-sol,policy_purpose,stable_admissible,inadmissible,unknown,2,0.25
OpenAI/gpt-5.6-sol,policy_purpose,stable_admissible,unknown,unknown,2,0.25
OpenAI/gpt-5.6-sol,policy_purpose,stable_inadmissible,inadmissible,inadmissible,8,1.0
OpenAI/gpt-5.6-sol,principal_scope,all_stable,admissible,admissible,6,0.375
OpenAI/gpt-5.6-sol,principal_scope,all_stable,inadmissible,admissible,2,0.125
OpenAI/gpt-5.6-sol,principal_scope,all_stable,inadmissible,inadmissible,6,0.375
OpenAI/gpt-5.6-sol,principal_scope,all_stable,unknown,admissible,1,0.0625
OpenAI/gpt-5.6-sol,principal_scope,all_stable,unknown,unknown,1,0.0625
OpenAI/gpt-5.6-sol,principal_scope,stable_admissible,admissible,admissible,6,0.75
OpenAI/gpt-5.6-sol,principal_scope,stable_admissible,unknown,admissible,1,0.125
OpenAI/gpt-5.6-sol,principal_scope,stable_admissible,unknown,unknown,1,0.125
OpenAI/gpt-5.6-sol,principal_scope,stable_inadmissible,inadmissible,admissible,2,0.25
OpenAI/gpt-5.6-sol,principal_scope,stable_inadmissible,inadmissible,inadmissible,6,0.75
DeepSeek/deepseek-v4-pro,all,all_stable,admissible,admissible,4,0.0625
DeepSeek/deepseek-v4-pro,all,all_stable,admissible,inadmissible,1,0.015625
DeepSeek/deepseek-v4-pro,all,all_stable,inadmissible,admissible,10,0.15625
DeepSeek/deepseek-v4-pro,all,all_stable,inadmissible,inadmissible,41,0.640625
DeepSeek/deepseek-v4-pro,all,all_stable,inadmissible,unknown,4,0.0625
DeepSeek/deepseek-v4-pro,all,all_stable,unknown,inadmissible,2,0.03125
DeepSeek/deepseek-v4-pro,all,all_stable,unknown,unknown,2,0.03125
DeepSeek/deepseek-v4-pro,all,stable_admissible,admissible,admissible,4,0.125
DeepSeek/deepseek-v4-pro,all,stable_admissible,inadmissible,admissible,10,0.3125
DeepSeek/deepseek-v4-pro,all,stable_admissible,inadmissible,inadmissible,12,0.375
DeepSeek/deepseek-v4-pro,all,stable_admissible,inadmissible,unknown,3,0.09375
DeepSeek/deepseek-v4-pro,all,stable_admissible,unknown,inadmissible,1,0.03125
DeepSeek/deepseek-v4-pro,all,stable_admissible,unknown,unknown,2,0.0625
DeepSeek/deepseek-v4-pro,all,stable_inadmissible,admissible,inadmissible,1,0.03125
DeepSeek/deepseek-v4-pro,all,stable_inadmissible,inadmissible,inadmissible,29,0.90625
DeepSeek/deepseek-v4-pro,all,stable_inadmissible,inadmissible,unknown,1,0.03125
DeepSeek/deepseek-v4-pro,all,stable_inadmissible,unknown,inadmissible,1,0.03125
DeepSeek/deepseek-v4-pro,as_of_time,all_stable,admissible,admissible,2,0.125
DeepSeek/deepseek-v4-pro,as_of_time,all_stable,inadmissible,inadmissible,10,0.625
DeepSeek/deepseek-v4-pro,as_of_time,all_stable,inadmissible,unknown,1,0.0625
DeepSeek/deepseek-v4-pro,as_of_time,all_stable,unknown,inadmissible,1,0.0625
DeepSeek/deepseek-v4-pro,as_of_time,all_stable,unknown,unknown,2,0.125
DeepSeek/deepseek-v4-pro,as_of_time,stable_admissible,admissible,admissible,2,0.25
DeepSeek/deepseek-v4-pro,as_of_time,stable_admissible,inadmissible,inadmissible,4,0.5
DeepSeek/deepseek-v4-pro,as_of_time,stable_admissible,unknown,unknown,2,0.25
DeepSeek/deepseek-v4-pro,as_of_time,stable_inadmissible,inadmissible,inadmissible,6,0.75
DeepSeek/deepseek-v4-pro,as_of_time,stable_inadmissible,inadmissible,unknown,1,0.125
DeepSeek/deepseek-v4-pro,as_of_time,stable_inadmissible,unknown,inadmissible,1,0.125
DeepSeek/deepseek-v4-pro,lifecycle_intent,all_stable,admissible,admissible,2,0.125
DeepSeek/deepseek-v4-pro,lifecycle_intent,all_stable,admissible,inadmissible,1,0.0625
DeepSeek/deepseek-v4-pro,lifecycle_intent,all_stable,inadmissible,admissible,6,0.375
DeepSeek/deepseek-v4-pro,lifecycle_intent,all_stable,inadmissible,inadmissible,7,0.4375
DeepSeek/deepseek-v4-pro,lifecycle_intent,stable_admissible,admissible,admissible,2,0.25
DeepSeek/deepseek-v4-pro,lifecycle_intent,stable_admissible,inadmissible,admissible,6,0.75
DeepSeek/deepseek-v4-pro,lifecycle_intent,stable_inadmissible,admissible,inadmissible,1,0.125
DeepSeek/deepseek-v4-pro,lifecycle_intent,stable_inadmissible,inadmissible,inadmissible,7,0.875
DeepSeek/deepseek-v4-pro,policy_purpose,all_stable,inadmissible,admissible,4,0.25
DeepSeek/deepseek-v4-pro,policy_purpose,all_stable,inadmissible,inadmissible,9,0.5625
DeepSeek/deepseek-v4-pro,policy_purpose,all_stable,inadmissible,unknown,3,0.1875
DeepSeek/deepseek-v4-pro,policy_purpose,stable_admissible,inadmissible,admissible,4,0.5
DeepSeek/deepseek-v4-pro,policy_purpose,stable_admissible,inadmissible,inadmissible,1,0.125
DeepSeek/deepseek-v4-pro,policy_purpose,stable_admissible,inadmissible,unknown,3,0.375
DeepSeek/deepseek-v4-pro,policy_purpose,stable_inadmissible,inadmissible,inadmissible,8,1.0
DeepSeek/deepseek-v4-pro,principal_scope,all_stable,inadmissible,inadmissible,15,0.9375
DeepSeek/deepseek-v4-pro,principal_scope,all_stable,unknown,inadmissible,1,0.0625
DeepSeek/deepseek-v4-pro,principal_scope,stable_admissible,inadmissible,inadmissible,7,0.875
DeepSeek/deepseek-v4-pro,principal_scope,stable_admissible,unknown,inadmissible,1,0.125
DeepSeek/deepseek-v4-pro,principal_scope,stable_inadmissible,inadmissible,inadmissible,8,1.0
Gemini/gemini-3.6-flash,all,all_stable,admissible,admissible,5,0.078125
Gemini/gemini-3.6-flash,all,all_stable,admissible,unknown,1,0.015625
Gemini/gemini-3.6-flash,all,all_stable,inadmissible,admissible,15,0.234375
Gemini/gemini-3.6-flash,all,all_stable,inadmissible,inadmissible,40,0.625
Gemini/gemini-3.6-flash,all,all_stable,inadmissible,unknown,3,0.046875
Gemini/gemini-3.6-flash,all,stable_admissible,admissible,admissible,5,0.15625
Gemini/gemini-3.6-flash,all,stable_admissible,admissible,unknown,1,0.03125
Gemini/gemini-3.6-flash,all,stable_admissible,inadmissible,admissible,15,0.46875
Gemini/gemini-3.6-flash,all,stable_admissible,inadmissible,inadmissible,8,0.25
Gemini/gemini-3.6-flash,all,stable_admissible,inadmissible,unknown,3,0.09375
Gemini/gemini-3.6-flash,all,stable_inadmissible,inadmissible,inadmissible,32,1.0
Gemini/gemini-3.6-flash,as_of_time,all_stable,admissible,admissible,4,0.25
Gemini/gemini-3.6-flash,as_of_time,all_stable,admissible,unknown,1,0.0625
Gemini/gemini-3.6-flash,as_of_time,all_stable,inadmissible,admissible,2,0.125
Gemini/gemini-3.6-flash,as_of_time,all_stable,inadmissible,inadmissible,8,0.5
Gemini/gemini-3.6-flash,as_of_time,all_stable,inadmissible,unknown,1,0.0625
Gemini/gemini-3.6-flash,as_of_time,stable_admissible,admissible,admissible,4,0.5
Gemini/gemini-3.6-flash,as_of_time,stable_admissible,admissible,unknown,1,0.125
Gemini/gemini-3.6-flash,as_of_time,stable_admissible,inadmissible,admissible,2,0.25
Gemini/gemini-3.6-flash,as_of_time,stable_admissible,inadmissible,unknown,1,0.125
Gemini/gemini-3.6-flash,as_of_time,stable_inadmissible,inadmissible,inadmissible,8,1.0
Gemini/gemini-3.6-flash,lifecycle_intent,all_stable,inadmissible,admissible,8,0.5
Gemini/gemini-3.6-flash,lifecycle_intent,all_stable,inadmissible,inadmissible,8,0.5
Gemini/gemini-3.6-flash,lifecycle_intent,stable_admissible,inadmissible,admissible,8,1.0
Gemini/gemini-3.6-flash,lifecycle_intent,stable_inadmissible,inadmissible,inadmissible,8,1.0
Gemini/gemini-3.6-flash,policy_purpose,all_stable,inadmissible,admissible,3,0.1875
Gemini/gemini-3.6-flash,policy_purpose,all_stable,inadmissible,inadmissible,11,0.6875
Gemini/gemini-3.6-flash,policy_purpose,all_stable,inadmissible,unknown,2,0.125
Gemini/gemini-3.6-flash,policy_purpose,stable_admissible,inadmissible,admissible,3,0.375
Gemini/gemini-3.6-flash,policy_purpose,stable_admissible,inadmissible,inadmissible,3,0.375
Gemini/gemini-3.6-flash,policy_purpose,stable_admissible,inadmissible,unknown,2,0.25
Gemini/gemini-3.6-flash,policy_purpose,stable_inadmissible,inadmissible,inadmissible,8,1.0
Gemini/gemini-3.6-flash,principal_scope,all_stable,admissible,admissible,1,0.0625
Gemini/gemini-3.6-flash,principal_scope,all_stable,inadmissible,admissible,2,0.125
Gemini/gemini-3.6-flash,principal_scope,all_stable,inadmissible,inadmissible,13,0.8125
Gemini/gemini-3.6-flash,principal_scope,stable_admissible,admissible,admissible,1,0.125
Gemini/gemini-3.6-flash,principal_scope,stable_admissible,inadmissible,admissible,2,0.25
Gemini/gemini-3.6-flash,principal_scope,stable_admissible,inadmissible,inadmissible,5,0.625
Gemini/gemini-3.6-flash,principal_scope,stable_inadmissible,inadmissible,inadmissible,8,1.0
