provider,model,scope,contrast,metric,estimate,ci_lower,ci_upper,bootstrap_replicates,scenario_count,unit_count
Gemini,gemini-3.6-flash,as_of_time,relevant_admissible_minus_relevant_inadmissible_exposure_effect,exposure_effect,1.0,1.0,1.0,10000,4,16
Gemini,gemini-3.6-flash,lifecycle_intent,relevant_admissible,exposure_effect,0.625,0.5,0.875,10000,4,8
Gemini,gemini-3.6-flash,lifecycle_intent,relevant_inadmissible,exposure_effect,0.0,0.0,0.0,10000,4,8
Gemini,gemini-3.6-flash,lifecycle_intent,irrelevant_admissible,exposure_effect,0.0,0.0,0.0,10000,4,16
Gemini,gemini-3.6-flash,lifecycle_intent,irrelevant_inadmissible,exposure_effect,0.0,0.0,0.0,10000,4,16
Gemini,gemini-3.6-flash,lifecycle_intent,relevant_admissible_minus_relevant_inadmissible_exposure_effect,exposure_effect,0.625,0.5,0.875,10000,4,16
Gemini,gemini-3.6-flash,policy_purpose,relevant_admissible,exposure_effect,0.75,0.25,1.0,10000,4,8
Gemini,gemini-3.6-flash,policy_purpose,relevant_inadmissible,exposure_effect,0.0,0.0,0.0,10000,4,8
Gemini,gemini-3.6-flash,policy_purpose,irrelevant_admissible,exposure_effect,0.0,0.0,0.0,10000,4,16
Gemini,gemini-3.6-flash,policy_purpose,irrelevant_inadmissible,exposure_effect,0.0,0.0,0.0,10000,4,16
Gemini,gemini-3.6-flash,policy_purpose,relevant_admissible_minus_relevant_inadmissible_exposure_effect,exposure_effect,0.75,0.25,1.0,10000,4,16
Gemini,gemini-3.6-flash,principal_scope,relevant_admissible,exposure_effect,1.0,1.0,1.0,10000,4,8
Gemini,gemini-3.6-flash,principal_scope,relevant_inadmissible,exposure_effect,0.125,0.0,0.375,10000,4,8
Gemini,gemini-3.6-flash,principal_scope,irrelevant_admissible,exposure_effect,0.0,0.0,0.0,10000,4,16
Gemini,gemini-3.6-flash,principal_scope,irrelevant_inadmissible,exposure_effect,0.0,0.0,0.0,10000,4,16
Gemini,gemini-3.6-flash,principal_scope,relevant_admissible_minus_relevant_inadmissible_exposure_effect,exposure_effect,0.875,0.625,1.0,10000,4,16
DeepSeek,deepseek-v4-pro,overall,relevant_admissible,exposure_effect,0.8125,0.71875,0.875,10000,16,32
DeepSeek,deepseek-v4-pro,overall,relevant_inadmissible,exposure_effect,0.15625,0.03125,0.3125,10000,16,32
DeepSeek,deepseek-v4-pro,overall,irrelevant_admissible,exposure_effect,0.0,0.0,0.0,10000,16,64
DeepSeek,deepseek-v4-pro,overall,irrelevant_inadmissible,exposure_effect,0.0,0.0,0.0,10000,16,64
DeepSeek,deepseek-v4-pro,overall,relevant_admissible_minus_relevant_inadmissible_exposure_effect,exposure_effect,0.65625,0.5,0.8125,10000,16,64
DeepSeek,deepseek-v4-pro,as_of_time,relevant_admissible,exposure_effect,0.875,0.625,1.0,10000,4,8
DeepSeek,deepseek-v4-pro,as_of_time,relevant_inadmissible,exposure_effect,0.25,0.0,0.75,10000,4,8
DeepSeek,deepseek-v4-pro,as_of_time,irrelevant_admissible,exposure_effect,0.0,0.0,0.0,10000,4,16
DeepSeek,deepseek-v4-pro,as_of_time,irrelevant_inadmissible,exposure_effect,0.0,0.0,0.0,10000,4,16
DeepSeek,deepseek-v4-pro,as_of_time,relevant_admissible_minus_relevant_inadmissible_exposure_effect,exposure_effect,0.625,0.25,1.0,10000,4,16
DeepSeek,deepseek-v4-pro,lifecycle_intent,relevant_admissible,exposure_effect,0.375,0.125,0.5,10000,4,8
DeepSeek,deepseek-v4-pro,lifecycle_intent,relevant_inadmissible,exposure_effect,0.0,0.0,0.0,10000,4,8
DeepSeek,deepseek-v4-pro,lifecycle_intent,irrelevant_admissible,exposure_effect,0.0,0.0,0.0,10000,4,16
DeepSeek,deepseek-v4-pro,lifecycle_intent,irrelevant_inadmissible,exposure_effect,0.0,0.0,0.0,10000,4,16
DeepSeek,deepseek-v4-pro,lifecycle_intent,relevant_admissible_minus_relevant_inadmissible_exposure_effect,exposure_effect,0.375,0.125,0.5,10000,4,16
DeepSeek,deepseek-v4-pro,policy_purpose,relevant_admissible,exposure_effect,1.0,1.0,1.0,10000,4,8
DeepSeek,deepseek-v4-pro,policy_purpose,relevant_inadmissible,exposure_effect,0.0,0.0,0.0,10000,4,8
DeepSeek,deepseek-v4-pro,policy_purpose,irrelevant_admissible,exposure_effect,0.0,0.0,0.0,10000,4,16
DeepSeek,deepseek-v4-pro,policy_purpose,irrelevant_inadmissible,exposure_effect,0.0,0.0,0.0,10000,4,16
DeepSeek,deepseek-v4-pro,policy_purpose,relevant_admissible_minus_relevant_inadmissible_exposure_effect,exposure_effect,1.0,1.0,1.0,10000,4,16
DeepSeek,deepseek-v4-pro,principal_scope,relevant_admissible,exposure_effect,1.0,1.0,1.0,10000,4,8
DeepSeek,deepseek-v4-pro,principal_scope,relevant_inadmissible,exposure_effect,0.375,0.0,0.75,10000,4,8
DeepSeek,deepseek-v4-pro,principal_scope,irrelevant_admissible,exposure_effect,0.0,0.0,0.0,10000,4,16
DeepSeek,deepseek-v4-pro,principal_scope,irrelevant_inadmissible,exposure_effect,0.0,0.0,0.0,10000,4,16
DeepSeek,deepseek-v4-pro,principal_scope,relevant_admissible_minus_relevant_inadmissible_exposure_effect,exposure_effect,0.625,0.25,1.0,10000,4,16
