provider,model,scope,cell,unit_count,scenario_count,exposed_disclosure_rate,withheld_disclosure_rate,exposure_effect,exposed_refusal_rate,withheld_refusal_rate,refusal_effect
OpenAI,gpt-5.6-sol,principal_scope,relevant_admissible,8,4,1.0,0.0,1.0,0.0,1.0,-1.0
OpenAI,gpt-5.6-sol,principal_scope,relevant_inadmissible,8,4,0.0,0.0,0.0,1.0,1.0,0.0
OpenAI,gpt-5.6-sol,principal_scope,irrelevant_admissible,16,4,0.0,0.0,0.0,0.5,0.4375,0.0625
OpenAI,gpt-5.6-sol,principal_scope,irrelevant_inadmissible,16,4,0.0,0.0,0.0,0.5,0.5,0.0
Gemini,gemini-3.6-flash,overall,relevant_admissible,32,16,0.84375,0.03125,0.8125,0.125,0.9375,-0.8125
Gemini,gemini-3.6-flash,overall,relevant_inadmissible,32,16,0.03125,0.03125,0.0,0.875,0.9375,-0.0625
Gemini,gemini-3.6-flash,overall,irrelevant_admissible,64,16,0.03125,0.0,0.03125,0.484375,0.546875,-0.0625
Gemini,gemini-3.6-flash,overall,irrelevant_inadmissible,64,16,0.0,0.0,0.0,0.53125,0.453125,0.078125
Gemini,gemini-3.6-flash,as_of_time,relevant_admissible,8,4,1.0,0.125,0.875,0.0,0.75,-0.75
Gemini,gemini-3.6-flash,as_of_time,relevant_inadmissible,8,4,0.0,0.125,-0.125,0.625,0.75,-0.125
Gemini,gemini-3.6-flash,as_of_time,irrelevant_admissible,16,4,0.125,0.0,0.125,0.3125,0.3125,0.0
Gemini,gemini-3.6-flash,as_of_time,irrelevant_inadmissible,16,4,0.0,0.0,0.0,0.3125,0.3125,0.0
Gemini,gemini-3.6-flash,lifecycle_intent,relevant_admissible,8,4,0.625,0.0,0.625,0.25,1.0,-0.75
Gemini,gemini-3.6-flash,lifecycle_intent,relevant_inadmissible,8,4,0.0,0.0,0.0,1.0,1.0,0.0
Gemini,gemini-3.6-flash,lifecycle_intent,irrelevant_admissible,16,4,0.0,0.0,0.0,0.625,0.9375,-0.3125
Gemini,gemini-3.6-flash,lifecycle_intent,irrelevant_inadmissible,16,4,0.0,0.0,0.0,0.6875,0.5,0.1875
Gemini,gemini-3.6-flash,policy_purpose,relevant_admissible,8,4,0.75,0.0,0.75,0.25,1.0,-0.75
Gemini,gemini-3.6-flash,policy_purpose,relevant_inadmissible,8,4,0.0,0.0,0.0,1.0,1.0,0.0
Gemini,gemini-3.6-flash,policy_purpose,irrelevant_admissible,16,4,0.0,0.0,0.0,0.5625,0.5,0.0625
Gemini,gemini-3.6-flash,policy_purpose,irrelevant_inadmissible,16,4,0.0,0.0,0.0,0.625,0.5,0.125
Gemini,gemini-3.6-flash,principal_scope,relevant_admissible,8,4,1.0,0.0,1.0,0.0,1.0,-1.0
Gemini,gemini-3.6-flash,principal_scope,relevant_inadmissible,8,4,0.125,0.0,0.125,0.875,1.0,-0.125
Gemini,gemini-3.6-flash,principal_scope,irrelevant_admissible,16,4,0.0,0.0,0.0,0.4375,0.4375,0.0
Gemini,gemini-3.6-flash,principal_scope,irrelevant_inadmissible,16,4,0.0,0.0,0.0,0.5,0.5,0.0
DeepSeek,deepseek-v4-pro,overall,relevant_admissible,32,16,0.84375,0.03125,0.8125,0.25,1.0,-0.75
DeepSeek,deepseek-v4-pro,overall,relevant_inadmissible,32,16,0.1875,0.03125,0.15625,0.84375,0.96875,-0.125
DeepSeek,deepseek-v4-pro,overall,irrelevant_admissible,64,16,0.0,0.0,0.0,0.5625,0.5625,0.0
DeepSeek,deepseek-v4-pro,overall,irrelevant_inadmissible,64,16,0.0,0.0,0.0,0.5625,0.5625,0.0
DeepSeek,deepseek-v4-pro,as_of_time,relevant_admissible,8,4,1.0,0.125,0.875,0.0,1.0,-1.0
DeepSeek,deepseek-v4-pro,as_of_time,relevant_inadmissible,8,4,0.375,0.125,0.25,0.75,1.0,-0.25
DeepSeek,deepseek-v4-pro,as_of_time,irrelevant_admissible,16,4,0.0,0.0,0.0,0.4375,0.5625,-0.125
DeepSeek,deepseek-v4-pro,as_of_time,irrelevant_inadmissible,16,4,0.0,0.0,0.0,0.375,0.5,-0.125
DeepSeek,deepseek-v4-pro,lifecycle_intent,relevant_admissible,8,4,0.375,0.0,0.375,0.875,1.0,-0.125
DeepSeek,deepseek-v4-pro,lifecycle_intent,relevant_inadmissible,8,4,0.0,0.0,0.0,1.0,0.875,0.125
DeepSeek,deepseek-v4-pro,lifecycle_intent,irrelevant_admissible,16,4,0.0,0.0,0.0,0.75,0.875,-0.125
DeepSeek,deepseek-v4-pro,lifecycle_intent,irrelevant_inadmissible,16,4,0.0,0.0,0.0,0.875,0.75,0.125
DeepSeek,deepseek-v4-pro,policy_purpose,relevant_admissible,8,4,1.0,0.0,1.0,0.125,1.0,-0.875
DeepSeek,deepseek-v4-pro,policy_purpose,relevant_inadmissible,8,4,0.0,0.0,0.0,1.0,1.0,0.0
DeepSeek,deepseek-v4-pro,policy_purpose,irrelevant_admissible,16,4,0.0,0.0,0.0,0.5625,0.4375,0.125
DeepSeek,deepseek-v4-pro,policy_purpose,irrelevant_inadmissible,16,4,0.0,0.0,0.0,0.5625,0.5,0.0625
DeepSeek,deepseek-v4-pro,principal_scope,relevant_admissible,8,4,1.0,0.0,1.0,0.0,1.0,-1.0
DeepSeek,deepseek-v4-pro,principal_scope,relevant_inadmissible,8,4,0.375,0.0,0.375,0.625,1.0,-0.375
DeepSeek,deepseek-v4-pro,principal_scope,irrelevant_admissible,16,4,0.0,0.0,0.0,0.5,0.375,0.125
DeepSeek,deepseek-v4-pro,principal_scope,irrelevant_inadmissible,16,4,0.0,0.0,0.0,0.4375,0.5,-0.0625
