reader_provider,reader_model,source,arm,reference,metric,mean_delta_arm_minus_reference,bootstrap_ci95_lower,bootstrap_ci95_upper,paired_case_count,namespace_group_count,bootstrap_replicates
DeepSeek,deepseek-v4-pro,memops,namespace_dense,global_dense,answer_quality,0.0674,0.04801587301587302,0.08771573604060914,1000,80,10000
DeepSeek,deepseek-v4-pro,memops,namespace_dense,global_dense,non_answer,-0.053,-0.07715430861723446,-0.03018500486854917,1000,80,10000
DeepSeek,deepseek-v4-pro,memops,namespace_dense,global_dense,protected_disclosure,-0.0063532401524777635,-0.02606310013717421,0.012594458438287154,787,80,10000
DeepSeek,deepseek-v4-pro,memops,namespace_dense,global_dense,stale_disclosure,0.008,-0.011982570806100218,0.0302734375,1000,80,10000
DeepSeek,deepseek-v4-pro,memops,namespace_policy_gate,namespace_dense,evidence_recall,0.0,0.0,0.0,1000,80,10000
DeepSeek,deepseek-v4-pro,memops,namespace_policy_gate,namespace_dense,feasible,0.0,0.0,0.0,1000,80,10000
DeepSeek,deepseek-v4-pro,memops,namespace_policy_gate,namespace_dense,penalized_admissibility_upper_risk,-0.038400611480023245,-0.045943368399418,-0.03127267622633127,1000,80,10000
DeepSeek,deepseek-v4-pro,memops,namespace_policy_gate,namespace_dense,answer_correct,0.013,-0.018461538461538463,0.044422507403751234,1000,80,10000
DeepSeek,deepseek-v4-pro,memops,namespace_policy_gate,namespace_dense,answer_quality,0.0056999999999999985,-0.013064833005893912,0.024825523429710866,1000,80,10000
DeepSeek,deepseek-v4-pro,memops,namespace_policy_gate,namespace_dense,non_answer,0.01,-0.01440329218106996,0.03497942386831276,1000,80,10000
DeepSeek,deepseek-v4-pro,memops,namespace_policy_gate,namespace_dense,protected_disclosure,0.0063532401524777635,-0.01602136181575434,0.029451137884872823,787,80,10000
DeepSeek,deepseek-v4-pro,memops,namespace_policy_gate,namespace_dense,stale_disclosure,-0.01,-0.033092037228541885,0.01044932079414838,1000,80,10000
DeepSeek,deepseek-v4-pro,memops,namespace_text_verifier,namespace_dense,evidence_recall,-0.03240357142857143,-0.044991064858614524,-0.021965723487462615,1000,80,10000
DeepSeek,deepseek-v4-pro,memops,namespace_text_verifier,namespace_dense,feasible,-0.023,-0.03461178671655753,-0.013,1000,80,10000
DeepSeek,deepseek-v4-pro,memops,namespace_text_verifier,namespace_dense,penalized_admissibility_upper_risk,0.011596124218918338,0.0033692484387179444,0.02052505002941757,1000,80,10000
DeepSeek,deepseek-v4-pro,memops,namespace_text_verifier,namespace_dense,answer_correct,0.016,-0.01015228426395939,0.041082164328657314,1000,80,10000
DeepSeek,deepseek-v4-pro,memops,namespace_text_verifier,namespace_dense,answer_quality,0.0091,-0.008149568552253116,0.025888324873096447,1000,80,10000
DeepSeek,deepseek-v4-pro,memops,namespace_text_verifier,namespace_dense,non_answer,-0.008,-0.028717948717948718,0.013902681231380337,1000,80,10000
DeepSeek,deepseek-v4-pro,memops,namespace_text_verifier,namespace_dense,protected_disclosure,-0.0025412960609911056,-0.02557200538358008,0.02158273381294964,787,80,10000
DeepSeek,deepseek-v4-pro,memops,namespace_text_verifier,namespace_dense,stale_disclosure,-0.005,-0.02230843840931135,0.011799410029498525,1000,80,10000
DeepSeek,deepseek-v4-pro,memops,released_field_oracle,namespace_dense,evidence_recall,-0.020659523809523808,-0.02858352690669764,-0.013717850776674307,1000,80,10000
DeepSeek,deepseek-v4-pro,memops,released_field_oracle,namespace_dense,feasible,-0.018,-0.029495718363463368,-0.00816326530612245,1000,80,10000
DeepSeek,deepseek-v4-pro,memops,released_field_oracle,namespace_dense,penalized_admissibility_upper_risk,-0.03155797380723851,-0.0423088145613747,-0.020911334654958567,1000,80,10000
DeepSeek,deepseek-v4-pro,memops,released_field_oracle,namespace_dense,answer_correct,0.01,-0.020181634712411706,0.04046858359957402,1000,80,10000
DeepSeek,deepseek-v4-pro,memops,released_field_oracle,namespace_dense,answer_quality,0.0033,-0.015173116089613034,0.021974522292993633,1000,80,10000
DeepSeek,deepseek-v4-pro,memops,released_field_oracle,namespace_dense,non_answer,0.013,-0.01166489925768823,0.0371900826446281,1000,80,10000
DeepSeek,deepseek-v4-pro,memops,released_field_oracle,namespace_dense,protected_disclosure,0.0012706480304955528,-0.019157088122605363,0.022427440633245383,787,80,10000
DeepSeek,deepseek-v4-pro,memops,released_field_oracle,namespace_dense,stale_disclosure,-0.003,-0.02610441767068273,0.01832208293153327,1000,80,10000
Gemini,gemini-3.6-flash,rhelm,namespace_dense,global_dense,evidence_recall,0.10214953412850163,0.06551608297640044,0.1365359283409076,523,7,10000
Gemini,gemini-3.6-flash,rhelm,namespace_dense,global_dense,feasible,0.08986615678776291,0.05566218809980806,0.1277056277056277,523,7,10000
Gemini,gemini-3.6-flash,rhelm,namespace_dense,global_dense,penalized_admissibility_upper_risk,-0.12106801328057003,-0.1622001781642724,-0.07973823201750266,523,7,10000
Gemini,gemini-3.6-flash,rhelm,namespace_dense,global_dense,answer_correct,0.05927342256214149,0.03220035778175313,0.09433962264150944,523,7,10000
Gemini,gemini-3.6-flash,rhelm,namespace_dense,global_dense,answer_quality,0.04244741873804971,0.02447418738049713,0.0653763440860215,523,7,10000
Gemini,gemini-3.6-flash,rhelm,namespace_dense,global_dense,non_answer,-0.04206500956022945,-0.06765327695560254,-0.021526418786692758,523,7,10000
Gemini,gemini-3.6-flash,rhelm,namespace_policy_gate,namespace_dense,evidence_recall,0.0,0.0,0.0,523,7,10000
Gemini,gemini-3.6-flash,rhelm,namespace_policy_gate,namespace_dense,feasible,0.0,0.0,0.0,523,7,10000
Gemini,gemini-3.6-flash,rhelm,namespace_policy_gate,namespace_dense,penalized_admissibility_upper_risk,0.0,0.0,0.0,523,7,10000
Gemini,gemini-3.6-flash,rhelm,namespace_policy_gate,namespace_dense,answer_correct,0.0,0.0,0.0,523,7,10000
Gemini,gemini-3.6-flash,rhelm,namespace_policy_gate,namespace_dense,answer_quality,0.0,0.0,0.0,523,7,10000
Gemini,gemini-3.6-flash,rhelm,namespace_policy_gate,namespace_dense,non_answer,0.0,0.0,0.0,523,7,10000
Gemini,gemini-3.6-flash,rhelm,namespace_text_verifier,namespace_dense,evidence_recall,-0.0031412182463807703,-0.006889763779527559,-0.00025284450063211124,523,7,10000
Gemini,gemini-3.6-flash,rhelm,namespace_text_verifier,namespace_dense,feasible,-0.0019120458891013384,-0.005681818181818182,0.0,523,7,10000
Gemini,gemini-3.6-flash,rhelm,namespace_text_verifier,namespace_dense,penalized_admissibility_upper_risk,0.0019120458891013384,0.0,0.005639097744360902,523,7,10000
Gemini,gemini-3.6-flash,rhelm,namespace_text_verifier,namespace_dense,answer_correct,-0.0057361376673040155,-0.01079913606911447,-0.0017094017094017094,523,7,10000
Gemini,gemini-3.6-flash,rhelm,namespace_text_verifier,namespace_dense,answer_quality,-0.004015296367112811,-0.006879194630872483,-0.0011741682974559689,523,7,10000
Gemini,gemini-3.6-flash,rhelm,namespace_text_verifier,namespace_dense,non_answer,-0.0019120458891013384,-0.008097165991902834,0.004024144869215292,523,7,10000
Gemini,gemini-3.6-flash,rhelm,released_field_oracle,namespace_dense,evidence_recall,0.0,0.0,0.0,523,7,10000
Gemini,gemini-3.6-flash,rhelm,released_field_oracle,namespace_dense,feasible,0.0,0.0,0.0,523,7,10000
Gemini,gemini-3.6-flash,rhelm,released_field_oracle,namespace_dense,penalized_admissibility_upper_risk,0.0,0.0,0.0,523,7,10000
Gemini,gemini-3.6-flash,rhelm,released_field_oracle,namespace_dense,answer_correct,0.0,0.0,0.0,523,7,10000
Gemini,gemini-3.6-flash,rhelm,released_field_oracle,namespace_dense,answer_quality,0.0,0.0,0.0,523,7,10000
Gemini,gemini-3.6-flash,rhelm,released_field_oracle,namespace_dense,non_answer,0.0,0.0,0.0,523,7,10000
Gemini,gemini-3.6-flash,memops,namespace_dense,global_dense,evidence_recall,0.10589246031746032,0.08652771843200557,0.1266511441590306,1000,80,10000
Gemini,gemini-3.6-flash,memops,namespace_dense,global_dense,feasible,0.06,0.04270109235352532,0.07905138339920949,1000,80,10000
Gemini,gemini-3.6-flash,memops,namespace_dense,global_dense,penalized_admissibility_upper_risk,-0.04842975335208308,-0.062164055636707856,-0.03587018119029178,1000,80,10000
Gemini,gemini-3.6-flash,memops,namespace_dense,global_dense,answer_correct,0.076,0.045317220543806644,0.10631895687061184,1000,80,10000
Gemini,gemini-3.6-flash,memops,namespace_dense,global_dense,answer_quality,0.0574,0.03751152073732719,0.076930596285435,1000,80,10000
Gemini,gemini-3.6-flash,memops,namespace_dense,global_dense,non_answer,-0.039,-0.06051282051282051,-0.017699115044247787,1000,80,10000
Gemini,gemini-3.6-flash,memops,namespace_dense,global_dense,protected_disclosure,0.012706480304955527,-0.005089058524173028,0.031209362808842653,787,80,10000
Gemini,gemini-3.6-flash,memops,namespace_dense,global_dense,stale_disclosure,0.0,-0.01166489925768823,0.011976047904191617,1000,80,10000
Gemini,gemini-3.6-flash,memops,namespace_policy_gate,namespace_dense,evidence_recall,0.0,0.0,0.0,1000,80,10000
Gemini,gemini-3.6-flash,memops,namespace_policy_gate,namespace_dense,feasible,0.0,0.0,0.0,1000,80,10000
Gemini,gemini-3.6-flash,memops,namespace_policy_gate,namespace_dense,penalized_admissibility_upper_risk,-0.038400611480023245,-0.045861512157728296,-0.031290291356357254,1000,80,10000
Gemini,gemini-3.6-flash,memops,namespace_policy_gate,namespace_dense,answer_correct,-0.009,-0.04108108108108108,0.02274975272007913,1000,80,10000
Gemini,gemini-3.6-flash,memops,namespace_policy_gate,namespace_dense,answer_quality,-0.0042000000000000015,-0.02208791208791209,0.013812677388836328,1000,80,10000
Gemini,gemini-3.6-flash,memops,namespace_policy_gate,namespace_dense,non_answer,0.016,-0.007797270955165692,0.038267875125881166,1000,80,10000
Gemini,gemini-3.6-flash,memops,namespace_policy_gate,namespace_dense,protected_disclosure,0.010165184243964422,-0.011435832274459974,0.03259452411994785,787,80,10000
Gemini,gemini-3.6-flash,memops,namespace_policy_gate,namespace_dense,stale_disclosure,0.02,0.0021344717182497333,0.037864077669902914,1000,80,10000
Gemini,gemini-3.6-flash,memops,namespace_text_verifier,namespace_dense,evidence_recall,-0.03240357142857143,-0.044970380496696286,-0.0220340074713384,1000,80,10000
Gemini,gemini-3.6-flash,memops,namespace_text_verifier,namespace_dense,feasible,-0.023,-0.034482758620689655,-0.013052208835341365,1000,80,10000
Gemini,gemini-3.6-flash,memops,namespace_text_verifier,namespace_dense,penalized_admissibility_upper_risk,0.011596124218918338,0.0034924357574230925,0.020313745617476134,1000,80,10000
Gemini,gemini-3.6-flash,memops,namespace_text_verifier,namespace_dense,answer_correct,-0.024,-0.05056759545923633,0.003937007874015748,1000,80,10000
Gemini,gemini-3.6-flash,memops,namespace_text_verifier,namespace_dense,answer_quality,-0.0152,-0.03248730964467005,0.002089268755935422,1000,80,10000
Gemini,gemini-3.6-flash,memops,namespace_text_verifier,namespace_dense,non_answer,0.019,-0.0010384215991692627,0.04091816367265469,1000,80,10000
Gemini,gemini-3.6-flash,memops,namespace_text_verifier,namespace_dense,protected_disclosure,0.0012706480304955528,-0.018656716417910446,0.02168021680216802,787,80,10000
Gemini,gemini-3.6-flash,memops,namespace_text_verifier,namespace_dense,stale_disclosure,0.009,-0.005149330587023687,0.022727272727272728,1000,80,10000
Gemini,gemini-3.6-flash,memops,released_field_oracle,namespace_dense,evidence_recall,-0.020659523809523808,-0.028398353447469358,-0.013862323171946602,1000,80,10000
Gemini,gemini-3.6-flash,memops,released_field_oracle,namespace_dense,feasible,-0.018,-0.029411764705882353,-0.008088978766430738,1000,80,10000
Gemini,gemini-3.6-flash,memops,released_field_oracle,namespace_dense,penalized_admissibility_upper_risk,-0.03155797380723851,-0.04194354549229925,-0.02120093795008732,1000,80,10000
Gemini,gemini-3.6-flash,memops,released_field_oracle,namespace_dense,answer_correct,-0.013,-0.04356435643564356,0.017495395948434623,1000,80,10000
Gemini,gemini-3.6-flash,memops,released_field_oracle,namespace_dense,answer_quality,-0.005700000000000001,-0.02413793103448276,0.012764003673094583,1000,80,10000
Gemini,gemini-3.6-flash,memops,released_field_oracle,namespace_dense,non_answer,0.017,-0.006211180124223602,0.03838951310861423,1000,80,10000
Gemini,gemini-3.6-flash,memops,released_field_oracle,namespace_dense,protected_disclosure,0.0,-0.02035928143712575,0.02064516129032258,787,80,10000
Gemini,gemini-3.6-flash,memops,released_field_oracle,namespace_dense,stale_disclosure,0.024,0.007164790174002047,0.04158215010141988,1000,80,10000
OpenAI,gpt-5.6-luna,rhelm,namespace_dense,global_dense,evidence_recall,0.10214953412850163,0.06699584344575557,0.13642796209974714,523,7,10000
OpenAI,gpt-5.6-luna,rhelm,namespace_dense,global_dense,feasible,0.08986615678776291,0.05432595573440644,0.1284796573875803,523,7,10000
OpenAI,gpt-5.6-luna,rhelm,namespace_dense,global_dense,penalized_admissibility_upper_risk,-0.12106801328057003,-0.16234616876035426,-0.07879092414938002,523,7,10000
OpenAI,gpt-5.6-luna,rhelm,namespace_dense,global_dense,answer_correct,0.045889101338432124,0.003738317757009346,0.09387755102040816,523,7,10000
OpenAI,gpt-5.6-luna,rhelm,namespace_dense,global_dense,answer_quality,0.029636711281070746,0.004152249134948096,0.06029411764705883,523,7,10000
OpenAI,gpt-5.6-luna,rhelm,namespace_dense,global_dense,non_answer,-0.05927342256214149,-0.09619238476953908,-0.015655577299412915,523,7,10000
OpenAI,gpt-5.6-luna,rhelm,namespace_policy_gate,namespace_dense,evidence_recall,0.0,0.0,0.0,523,7,10000
OpenAI,gpt-5.6-luna,rhelm,namespace_policy_gate,namespace_dense,feasible,0.0,0.0,0.0,523,7,10000
OpenAI,gpt-5.6-luna,rhelm,namespace_policy_gate,namespace_dense,penalized_admissibility_upper_risk,0.0,0.0,0.0,523,7,10000
OpenAI,gpt-5.6-luna,rhelm,namespace_policy_gate,namespace_dense,answer_correct,0.0,0.0,0.0,523,7,10000
OpenAI,gpt-5.6-luna,rhelm,namespace_policy_gate,namespace_dense,answer_quality,0.0,0.0,0.0,523,7,10000
OpenAI,gpt-5.6-luna,rhelm,namespace_policy_gate,namespace_dense,non_answer,0.0,0.0,0.0,523,7,10000
OpenAI,gpt-5.6-luna,memops,namespace_dense,global_dense,evidence_recall,0.10589246031746032,0.08602724194700712,0.12669330837173579,1000,80,10000
OpenAI,gpt-5.6-luna,memops,namespace_dense,global_dense,feasible,0.06,0.04257425742574258,0.07926829268292683,1000,80,10000
OpenAI,gpt-5.6-luna,memops,namespace_dense,global_dense,penalized_admissibility_upper_risk,-0.04842975335208308,-0.06220979333937343,-0.035880418307759995,1000,80,10000
OpenAI,gpt-5.6-luna,memops,namespace_dense,global_dense,answer_correct,0.086,0.05252725470763132,0.12075471698113208,1000,80,10000
OpenAI,gpt-5.6-luna,memops,namespace_dense,global_dense,answer_quality,0.0656,0.04468302658486708,0.08761329305135952,1000,80,10000
OpenAI,gpt-5.6-luna,memops,namespace_dense,global_dense,non_answer,-0.017,-0.0343811394891945,-0.0009689922480620155,1000,80,10000
OpenAI,gpt-5.6-luna,memops,namespace_dense,global_dense,protected_disclosure,-0.007623888182973317,-0.02679658952496955,0.01394169835234474,787,80,10000
OpenAI,gpt-5.6-luna,memops,namespace_dense,global_dense,stale_disclosure,0.004,-0.013171225937183385,0.021883920076117985,1000,80,10000
OpenAI,gpt-5.6-luna,memops,namespace_policy_gate,namespace_dense,evidence_recall,0.0,0.0,0.0,1000,80,10000
OpenAI,gpt-5.6-luna,memops,namespace_policy_gate,namespace_dense,feasible,0.0,0.0,0.0,1000,80,10000
OpenAI,gpt-5.6-luna,memops,namespace_policy_gate,namespace_dense,penalized_admissibility_upper_risk,-0.038400611480023245,-0.045740951510584237,-0.03127392188894989,1000,80,10000
OpenAI,gpt-5.6-luna,memops,namespace_policy_gate,namespace_dense,answer_correct,-0.011,-0.035856573705179286,0.0137524557956778,1000,80,10000
OpenAI,gpt-5.6-luna,memops,namespace_policy_gate,namespace_dense,answer_quality,-0.0063999999999999994,-0.019891891891891895,0.0069182389937106955,1000,80,10000
OpenAI,gpt-5.6-luna,memops,namespace_policy_gate,namespace_dense,non_answer,0.009,-0.004965243296921549,0.02268041237113402,1000,80,10000
OpenAI,gpt-5.6-luna,memops,namespace_policy_gate,namespace_dense,protected_disclosure,0.0,-0.017241379310344827,0.0166073546856465,787,80,10000
OpenAI,gpt-5.6-luna,memops,namespace_policy_gate,namespace_dense,stale_disclosure,0.002,-0.014388489208633094,0.01775147928994083,1000,80,10000
